vga,(无列名)
NVIDIA GeForce RTX2060 6G,1
Microsoft 基本显示适配器(低分辨率),1
NVIDIA GeForce 840A,1
NVIDIA GeForce GTX 260,1
AMD Radeon HD 7600A Series,1
AMD Radeon Pro 5600M,1
3,1
AMD Radeon HD 7400A Series,1
Intel(R) 82945G Express Chipset Family,1
ATI  Radeon HD 5000 Series,1
ASPEED Graphics Family,1
NVIDIA GeForce GTX 4090 Ti 64GB,1
NVIDIA GeForce GT 1010,1
NVIDIA GeForce GT 320M ,1
NVIDIA GeForce 8100 / nForce 720a,1
NVIDIA GeForce 810M,1
NVIDIA GeForce 6150SE nForce 430 (Microsoft Corporation - WDDM),1
AMD Radeon HD 8730M,1
AMD Radeon R9 M275X,1
ASUS EAH6570 Series,1
ASUS R7 250 Series,1
ASUS R9 270 Series,1
ATI Mobility Radeon X1350,1
AMD Radeon HD 8600 Series,1
AMD Radeon HD 7520G,1
NVIDIA Quadro FX 1600M,1
NVIDIA Quadro 400,1
Radeon X1300/X1550 Series Secondary   ,1
Radeon 530 Series,1
AMD Radeon R7 200 Series~Radeon(TM) R7 360 Series Graphics,1
AMD Radeon (TM)  R9 M385X,1
AMD Radeon (TM) R6 M435DX,1
AMD Radeon (TM) R9 M375X,1
AMD Radeon(TM) Vega 10 Mobile Graphics,1
ATI Radeon HD 5800 Series,1
DisplayLink USB Device,1
Intel(R) Graphics Media Accelerator HD,1
Radeon Pro 570X,1
NVIDIA Quadro VX 200,1
NVIDIA GeForce RTX 3070 SUPER,1
NVIDIA GRID P40-4Q,1
NVIDIA GeForce 7300 LE,1
Microsoft 基本呈现驱动程序,1
NVIDIA GeForce GT 425M,1
NVIDIA GeForce RTX 1080 8G,1
NVIDIA GeForce RTX 1050 Ti,1
NVIDIA GeForce GTX 3060 6GB,1
AMD Radeon HD 6625M Graphics,1
AMD Radeon R7 M360,1
AMD Radeon R9 260,1
AMD Radeon RX 6800,1
ASUS EAH 6790 Series,1
NVIDIA GeForce RTX 1060 3G,1
NVIDIA GeForce RTX 2060 Ti,1
NVIDIA GeForce 8600 GTS,1
NVIDIA GeForce 9300 GS,1
NVIDIA GeForce FX 5200,1
NVIDIA GeForce GT 420M   ,1
NVIDIA GeForce GTX 2080,1
NVIDIA GeForce RTX 3060TI,1
Intel(R) HD Graphics P3000,1
NVIDIA GeForce 8200,1
AMD Radeon(TM) R5 235X,1
ATI Radeon HD 3600 Series,1
ATI Mobility Radeon HD 530v  ,1
ASUS HD7950 Series,1
AMD Radeon HD 8650G + 8570M Dual Graphics,1
AMD Radeon (TM) RX 560X~Radeon(TM) RX 560 Graphics,1
NVIDIA GeForec RTX 2070,1
视频控制器(VGA 兼容),1
Matrox G200eR,1
Mobile Intel(R) 965 Express Chipset Family,1
NVIDIA GeForce GTX 1050 Ti with Max-Q Design,1
NVIDIA GeForce GT 325M,1
AMD Radeon R7 M340,1
AMD Radeon HD 7520G + 7670M Dual Graphics,1
AMD Radeon (TM) R9 370X~370 Series,1
NVIDIA GeForce RTX 1650S,1
Standard VGA Graphics Adapter,1
