CPU,Num
Intel(R) Xeon(R) CPU           E5420  @ 2.50GHz,45
Intel(R) Core(TM) i5-7600K CPU @ 3.80GHz,45
Intel(R) Core(TM) i5-4590S CPU @ 3.00GHz,44
Intel(R) Core(TM) i5-4440S CPU @ 2.80GHz,44
Intel(R) Core(TM) i7 CPU         930  @ 2.80GHz,44
Intel(R) Core(TM) i3-6006U CPU @ 2.00GHz,44
11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,43
AMD Athlon(tm) II X2 220 Processor,43
Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,43
Intel(R) Core(TM) i5-10400T CPU @ 2.00GHz,43
Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz,43
"AMD A10-7860K Radeon R7, 12 Compute Cores 4C+8G",43
Intel(R) Core(TM) i3-1005G1 CPU @ 1.20GHz,42
Pentium(R) Dual-Core  CPU      E5200  @ 2.50GHz,42
AMD Athlon(tm) II X3 450 Processor,42
Intel(R) Core(TM) I7 12700K CPU @ 4.60GHz,42
Intel Pentium II 处理器,42
Intel(R) Xeon(R) CPU E3-1240L v5 @ 2.10GHz,41
Intel(R) Core(TM) i5-7600 CPU @ 3.50GHz,41
Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz,40
Intel(R) Xeon(R) CPU           L5420  @ 2.50GHz,40
Intel(R) Core(TM) i5-2550K CPU @ 3.40GHz,40
AMD A6-3620 APU with Radeon(tm) HD Graphics,40
Intel(R) Xeon(R) CPU E5-2667 v2 @ 3.30GHz,40
Intel(R) Core(TM) i7-3520M CPU @ 2.90GHz,39
Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,38
Intel(R) Core(TM) i5-6600T CPU @ 2.70GHz,38
Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,38
Intel(R) Xeon(R) CPU           L5520  @ 2.27GHz,38
Intel(R) Core(TM) i3-4000M CPU @ 2.40GHz,37
Intel(R) Core(TM) i7-5820K CPU @ 3.30GHz,37
"AMD A8 PRO-7600B R7, 10 Compute Cores 4C+6G    ",37
Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,36
12th Gen Intel(R) Core(TM) i9-12900KF,36
Intel(R) Core(TM) i7-3720QM CPU @ 2.60GHz,36
Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz,36
Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,36
AMD A8-3870 APU with Radeon(tm) HD Graphics,36
Intel(R) Celeron(R) CPU G3930T @ 2.70GHz,36
Intel(R) Xeon(R) CPU E5-2643 v2 @ 3.50GHz,36
AMD A8-3850 APU with Radeon(tm) HD Graphics,35
AMD A6-3650 APU with Radeon(tm) HD Graphics,35
Pentium(R) Dual-Core  CPU      E5400  @ 2.70GHz,35
Intel(R) Core(TM) i5-4570R CPU @ 2.70GHz,35
Genuine Intel(R) CPU 0000 @ 2.20GHz,35
Intel(R) Core(TM) i7-6820HK CPU @ 2.70GHz,35
AMD A8-4500M APU with Radeon(tm) HD Graphics   ,34
AMD Ryzen 3 3250U with Radeon Graphics         ,34
AMD Athlon(tm) II X2 215 Processor,34
Intel(R) Core(TM) i5-9400T CPU @ 1.80GHz,34
Intel(R) Core(TM) i5-4310M CPU @ 2.70GHz,33
Intel(R) Core(TM) i5 CPU       M 520  @ 2.40GHz,33
AMD A6-6400K APU with Radeon(tm) HD Graphics   ,33
Intel(R) Core(TM) I7 10700k CPU @ 3.30GHz,33
Intel(R) Pentium(R) CPU 4415U @ 2.30GHz,33
Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz JSH,32
Intel(R) Xeon(R) CPU           X3430  @ 2.40GHz,32
Intel(R) Core(TM) i5-3570S CPU @ 3.10GHz,32
Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,32
AMD Athlon(tm) II X4 620 Processor,32
AMD A10-6700 APU with Radeon(tm) HD Graphics   ,32
Intel(R) Core(TM) i5 CPU       M 480  @ 2.67GHz,32
Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,32
Intel(R) Core(TM)2 Quad CPU    Q6600  @ 2.40GHz,31
Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz,31
Intel(R) Core(TM) i5-3330S CPU @ 2.70GHz,31
Intel(R) Core(TM) i7-9750HF CPU @ 2.60GHz,30
Intel(R) Pentium(R) Gold G5500 CPU @ 3.80GHz,30
Intel(R) Core(TM) i7-4712MQ CPU @ 2.30GHz,30
Intel(R) Core(TM) i7 8700 CPU @,30
Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,30
Intel(R) Core(TM) i7-2760QM CPU @ 2.40GHz,30
Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz,30
Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,29
Intel(R) Pentium(R) CPU G4400T @ 2.90GHz,29
AMD Ryzen 7 5700G with Radeon Graphics         ,29
Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz,29
Intel(R) Xeon(R) CPU E3-1240 V2 @ 3.40GHz,29
AMD Athlon 3000G with Radeon Vega Graphics     ,29
AMD Ryzen 7 PRO 4750U with Radeon Graphics,29
Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,29
AMD A9-9820 Processor,28
Intel(R) Pentium(R) Dual  CPU  E2200  @ 2.20GHz,28
Intel(R) Core(TM) i5-4460T CPU @ 1.90GHz,28
Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz,28
AMD Ryzen 9 4900HS with Radeon Graphics         ,28
Intel(R) Pentium(R) CPU G3220T @ 2.60GHz,28
Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz,28
AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx  ,28
AMD Processor model unknown,28
AMD Sempron(tm) X2 198 Dual-Core Processor,28
Intel(R) Xeon(R) CPU E5-4650L 0 @ 2.60GHz,28
12th Gen Intel(R) Core(TM) i7-12700,27
Intel(R) Celeron(R) CPU        E3400  @ 2.60GHz,27
Intel(R) Core(TM) i5-4670S CPU @ 3.10GHz,27
Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,27
Intel(R) Core(TM) i5-4300U CPU @ 1.90GHz,27
Intel(R) Core(TM) m3-7Y30 CPU @ 1.00GHz,27
Intel(R) Core(TM) i7-7820HK CPU @ 2.90GHz,27
AMD Sempron(tm) X2 190 Processor,27
Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,26
Intel(R) Core(TM) i3-4005U CPU @ 1.70GHz,26
Intel(R) Xeon(R) CPU E31240 @ 3.30GHz,26
Intel(R) Core(TM)2 Quad CPU    Q8200  @ 2.33GHz,26
Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz,26
Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz,26
Intel(R) Core(TM) i7-4500U CPU @ 1.80GHz,26
AMD A6-5400K APU with Radeon(tm) HD Graphics   ,25
11th Gen Intel(R) Core(TM) i9-11900 @ 2.50GHz,25
Intel(R) Core(TM) i7-4700HQ CPU @ 2.40GHz,25
Intel(R) Core(TM) i7-4870HQ CPU @ 2.50GHz,25
AMD Ryzen 5 3400GE with Radeon Vega Graphics   ,25
11th Gen Intel(R) Core(TM) i9-11900H @ 2.50GHz,25
Intel(R) Celeron(R) N5095 @ 2.00GHz,24
Intel(R) Core(TM) i7-2600S CPU @ 2.80GHz,24
Intel(R) Xeon(R) CPU           E5430  @ 2.66GHz,24
Intel(R) Core(TM) i3-9100T CPU @ 3.10GHz,24
Intel(R) Core(TM) i7-3635QM CPU @ 2.40GHz,24
Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,24
Intel(R) Core(TM) i9-9900 CPU @ 3.10GHz,24
Intel(R) Core(TM) i3-2370M CPU @ 2.40GHz,24
Intel(R) Core(TM) I7 10700 CPU @ 2.90GHz,24
Intel(R) Core(TM) I7 10700 CPU @ 4.10GHz,24
"AMD A8-7680 Radeon R7, 10 Compute Cores 4C+6G  ",24
Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz,23
Intel(R) Core(TM) i7-4750HQ CPU @ 2.00GHz,23
AMD Phenom(tm) II X4 965 Processor,23
Intel(R) Pentium(R) CPU G4560T @ 2.90GHz,23
AMD Athlon(tm) II X3 425 Processor,23
Intel(R) Core(TM) i7-3612QM CPU @ 2.10GHz,23
Intel(R) Core(TM) i7-6850K CPU @ 3.60GHz,23
Intel(R) Core(TM) i7-11700F CPU @ 2.50GHz,23
Intel(R) Core(TM) i5-4300M CPU @ 2.60GHz,22
Intel(R) Core(TM) i9-10900K CPU @ ,22
Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz,22
Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,22
Intel(R) Core(TM) i7-4702MQ CPU @ 2.20GHz,22
Intel(R) Pentium(R) CPU G2120 @ 3.10GHz,22
Genuine Intel(R) CPU 0000 @ 2.90GHz,22
AMD E2-3200 APU with Radeon(tm) HD Graphics,22
Intel(R) Xeon(R) CPU E5-2667 0 @ 2.90GHz,22
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,22
Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,22
Intel(R) Core(TM) i7-4820K CPU @ 3.70GHz,22
Intel(R) Core(TM) i5-3475S CPU @ 2.90GHz,22
Intel(R) Xeon(R) CPU E31280 @ 3.50GHz,22
Intel(R) Core(TM) i7-4770S CPU @ 3.10GHz,21
Intel(R) Core(TM) i5-4288U CPU @ 2.60GHz,21
AMD Athlon(tm) 64 X2 Dual Core Processor 5200+,21
Intel(R) Xeon(R) CPU I7-7700  @ ,21
Intel(R) Core(TM) i3-8130U CPU @ 2.20GHz,21
Intel(R) Xeon(R) CPU E5-2430L 0 @ 2.00GHz,21
Intel(R) Core(TM) I7 7700k CPU @ 3.20GHz,21
AMD Athlon(tm) X4 845 Quad Core Processor      ,21
Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,20
Intel(R) Xeon(R) CPU E5-2683 v3 @ 2.00GHz,20
Intel(R) Core(TM) I5 10500 CPU @ 3.10GHz,20
Intel(R) Core(TM) i5-2540M CPU @ 2.60GHz,20
AMD Ryzen 5 PRO 2600 Six-Core Processor        ,20
Pentium(R) Dual-Core  CPU      E5500  @ 2.80GHz,20
Intel(R) Celeron(R) CPU G1820T @ 2.40GHz,20
Intel(R) Core(TM) i7-3930K CPU @ 3.20GHz,20
Intel(R) Core(TM) i7-9700 CPU @ 3.7GHz,20
AMD A8-5500B APU with Radeon(tm) HD Graphics   ,20
Genuine Intel(R) CPU 0000 @ 2.70GHz,20
Genuine Intel(R) CPU  @ 2.20GHz,19
Intel(R) Xeon(R) CPU I7-10600KF,19
Intel(R) Core(TM) i3 CPU       M 370  @ 2.40GHz,19
AMD FX(tm)-4100 Quad-Core Processor            ,19
Intel(R) Core(TM) i7-4790S CPU @ 3.20GHz,19
Intel(R) Celeron(R) CPU 3865U @ 1.80GHz,19
Intel(R) Core(TM) i7-8700k CPU @ 3.7GHz,19
Intel(R) Xeon(R) CPU           L5630  @ 2.13GHz,18
Intel(R) Core(TM) i7-5600U CPU @ 2.60GHz,18
Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz,18
Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz,18
Intel(R) Core(TM)2 Duo CPU     E8600  @ 3.33GHz,18
Intel(R) Core(TM) i9-8950HK CPU @ 2.90GHz,18
Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,18
Intel(R) Xeon(R) CPU           X3470  @ 2.93GHz,18
Intel(R) Core(TM) i9-9900T CPU @ 2.10GHz,18
Intel(R) Core(TM) i9-9900KS CPU @ 4.00GHz,18
Intel(R) Xeon(R) CPU           L5410  @ 2.33GHz,18
11th Gen Intel(R) Core(TM) i7-1195G7 @ 2.90GHz,18
12th Gen Intel(R) Core(TM) i9-12900K,17
Intel(R) Core(TM) i7-4900MQ CPU @ 2.80GHz,17
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,17
AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx  ,17
Intel(R) Xeon(R) CPU E3-1280 v3 @ 3.60GHz,17
AMD Athlon(tm) 7750 Dual-Core Processor,17
Intel(R) Xeon(R) CPU           X5690  @ 3.47GHz,17
Intel(R) Pentium(R) CPU G3450 @ 3.40GHz,17
Intel(R) Xeon(R) CPU           L5335  @ 2.00GHz,17
Intel(R) Xeon(R) CPU E3-1240 v5 @ 3.50GHz,17
Intel(R) Core(TM) i7 CPU         960  @ 3.20GHz,17
AMD Ryzen 5 4600G with Radeon Graphics,17
AMD Phenom(tm) 9650 Quad-Core Processor,16
Intel(R) Xeon(R) CPU E3-1225 V2 @ 3.20GHz,16
Intel(R) Core(TM) i5-4260U CPU @ 1.40GHz,16
Intel(R) Xeon(R) CPU E3-1226 v3 @ 3.30GHz,16
Intel(R) Core(TM) i7-2630QM CPU @ 2.00GHz,16
Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,16
Intel(R) Celeron(R) CPU G1620T @ 2.40GHz,16
Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,16
Intel(R) Core(TM) i5-6267U CPU @ 2.90GHz,16
AMD Ryzen 5 PRO 4650G with Radeon Graphics,16
Intel(R) Core(TM) i7-2620M CPU @ 2.70GHz,16
Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz,16
Intel(R) Pentium(R) CPU G3420 @ 3.20GHz,16
Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz,15
Intel(R) Pentium(R) CPU G3470 @ 3.60GHz,15
Intel(R) Core(TM) i3-4170T CPU @ 3.20GHz,15
Intel(R) Xeon(R) CPU E3-1281 v3 @ 3.70GHz,15
Intel(R) Xeon(R) CPU           X5677  @ 3.47GHz,15
Intel(R) Core(TM) I7 8700 CPU @ 3.20GHz,15
AMD Phenom(tm) II X4 830 Processor,15
Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,15
Intel(R) Celeron(R) CPU 5205U @ 1.90GHz,15
Intel(R) Celeron(R) CPU        E3500  @ 2.70GHz,15
AMD A10-5750M APU with Radeon(tm) HD Graphics  ,15
11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz,14
Intel(R) Celeron(R) CPU 1007U @ 1.50GHz,14
Intel(R) Core(TM) i5 CPU         660  @ 3.33GHz,14
Intel(R) Xeon(R) CPU           E5530  @ 2.40GHz,14
Intel(R) Core(TM) m3-6Y30 CPU @ 0.90GHz,14
Intel(R) Xeon(R) CPU           E5440  @ 2.83GHz,14
Intel(R) Xeon(R) CPU E5-2609 0 @ 2.40GHz,14
Intel(R) Celeron(R) J4125 CPU @ 2.00GHz,14
Intel(R) Celeron(R) CPU G3920 @ 2.90GHz,14
Intel(R) Core(TM) i5-3340M CPU @ 2.70GHz,14
AMD Athlon(tm) II X3 440 Processor,14
Intel(R) Core(TM) i5-3380M CPU @ 2.90GHz,14
Intel(R) Celeron(R) CPU G540T @ 2.10GHz,14
Intel(R) Xeon(R) CPU E5-2682 v4 @ 2.50GHz,14
Intel(R) Celeron(R) CPU 1000M @ 1.80GHz,14
Intel(R) Pentium(R) 3805U @ 1.90GHz,14
AMD A4-6300B APU with Radeon(tm) HD Graphics   ,14
Intel(R) Core(TM) i7-4712HQ CPU @ 2.30GHz,13
Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz,13
Intel(R) Xeon(R) CPU           X3450  @ 2.67GHz,13
Intel(R) Core(TM)2 Quad  CPU   Q9300  @ 2.50GHz,13
Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz,13
AMD Ryzen: ZD270XBGM88AF_42/37_Y               ,13
AMD RX-425BB with AMD Radeon(tm) R6 Graphics   ,13
AMD Athlon(tm) II X3 435 Processor,13
Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,13
Intel(R) Core(TM) i5-3470T CPU @ 2.90GHz,13
Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,13
Intel(R) Core(TM) i5-10505 CPU @ 3.20GHz,13
Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz,13
Genuine Intel(R) CPU 0000 @ 1.80GHz,13
Intel(R) Xeon(R) CPU E5-1660 0 @ 3.30GHz,13
Intel(R) Core(TM) i7-8700K CPU @ ,13
Intel(R) Core(TM) i3-3240T CPU @ 2.90GHz,13
AMD Phenom(tm) II X4 960T Processor,13
AMD Phenom(tm) II X4 B95 Processor,13
Intel(R) Pentium(R) CPU G2030T @ 2.60GHz,13
Intel(R) Xeon(R) CPU E31270 @ 3.40GHz,13
Intel(R) Core(TM) i7-5###U CPU @ 2.20GHz,13
Genuine Intel(R) CPU 0000 @ 2.50GHz,13
Intel(R) Core(TM) i5-2467M CPU @ 1.60GHz,12
Intel(R) Core(TM) i7-5700HQ CPU @ 2.70GHz,12
AMD Phenom(tm) II X4 840 Processor,12
Pentium(R) Dual-Core  CPU      E6300  @ 2.80GHz,12
Intel(R) Celeron(R) G4930T CPU @ 3.00GHz,12
Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,12
"AMD A10-7850K Radeon R7, 12 Compute Cores 4C+8G",12
"AMD A10-9630P RADEON R5, 10 COMPUTE CORES 4C+6G",12
Intel(R) Pentium(R) Silver N5000 CPU @ 1.10GHz,12
Intel(R) Pentium(R) Gold G5620 CPU @ 4.00GHz,12
Intel(R) Pentium(R) CPU B940 @ 2.00GHz,12
AMD FX(tm)-8120 Eight-Core Processor           ,12
AMD Athlon Silver 3050U with Radeon Graphics   ,12
Intel(R) Core(TM) i3 CPU       M 390  @ 2.67GHz,12
Intel(R) Core(TM) i5-8259U CPU @ 2.30GHz,12
Intel(R) Xeon(R) E-2124 CPU @ 3.30GHz,12
Intel(R) Celeron(R) 2957U @ 1.40GHz,12
Intel(R) Core(TM) i7-2640M CPU @ 2.80GHz,12
Intel(R) Core(TM) I7 9700 CPU @ 3.30GHz,12
Intel(R) Core(TM)2 Duo CPU     P8600  @ 2.40GHz,12
Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz,12
12th Gen Intel(R) Core(TM) i5-12500,12
AMD A10-4600M APU with Radeon(tm) HD Graphics  ,12
AMD Athlon(tm) II X2 221 Dual-Core Processor,12
Intel(R) Core(TM) i3-4010U CPU @ 1.70GHz,12
Intel(R) Core(TM) i3 CPU         540  @ 3.07GHz,11
Intel(R) Core(TM) i5-1035G4 CPU @ 1.10GHz,11
Intel(R) Xeon(R) CPU E31225 @ 3.10GHz,11
Intel(R) Core(TM) i7 7700K CPU @,11
Intel(R) Core(TM) I7 10700k CPU @ 3.80GHz,11
Intel(R) Core(TM) i7-5930K CPU @ 3.50GHz,11
AMD Athlon(tm) 64 X2 Dual Core Processor 4200+,11
Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,11
Intel(R) Xeon(R) CPU            5160  @ 3.00GHz,11
Intel(R) Core(TM) i7 10700F CPU,11
AMD A4-3400 APU with Radeon(tm) HD Graphics,11
11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,11
11th Gen Intel(R) Core(TM) i7-11700 @ 2.5GHz,11
Intel(R) Celeron(R) G5900 CPU @ 3.40GHz,11
Intel(R) Xeon(R) CPU           E5405  @ 2.00GHz,11
Intel(R) Xeon(R) CPU E5-4650 v3 @ 2.10GHz,11
Intel(R) Core(TM) i7-9700 CPU @ 3.90GHz,11
Intel(R) Core(TM) i7-11700KF @,11
Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz,11
AMD Sempron(tm) Processor LE-1200,11
Intel(R) Celeron(R) G5925 CPU @ 3.60GHz,11
Intel(R) Core(TM)2 Duo CPU     E4500  @ 2.20GHz,11
Intel(R) Core(TM) i7-4960X CPU @ 3.60GHz,11
Intel(R) Core(TM)2 Duo CPU     T8100  @ 2.10GHz,11
AMD Ryzen 9 3950X 16-Core Processor            ,11
AMD FX(tm)-8150 Eight-Core Processor           ,11
AMD A4-3300M APU with Radeon(tm) HD Graphics,11
Intel(R) Core(TM) i3-9350KF CPU @ 4.00GHz,11
AMD Ryzen 7 PRO 4750GE with Radeon Graphics,11
Intel(R) Celeron(R) CPU 2950M @ 2.00GHz,11
Intel(R) Core(TM) i3-5010U CPU @ 2.10GHz,11
Intel(R) Pentium(R) Dual  CPU  E2180  @ 2.00GHz,11
Intel(R) Pentium(R) CPU G3460 @ 3.50GHz,11
Intel(R) Xeon(R) CPU E5-4627 v2 @ 3.30GHz,11
Intel(R) Core(TM) I9 9900 CPU @ 3.10GHz,10
Intel(R) Core(TM) i9-11900F CPU @ 3.60GHz,10
Intel(R) Xeon(R) CPU E3-1246 v3 @ 3.50GHz,10
AMD Athlon(tm) 64 X2 Dual Core Processor 4400+,10
AMD Eng Sample: 100-000000262-50_Y             ,10
AMD Phenom(tm) II X4 B60 Processor,10
Intel(R) Core(TM) i3-7100T CPU @ 3.40GHz,10
Intel(R) Xeon(R) CPU           W3565  @ 3.20GHz,10
Intel(R) Core(TM) i7-2677M CPU @ 1.80GHz,10
Intel(R) Celeron(R) CPU 1005M @ 1.90GHz,10
AMD Ryzen 9 3900XT 12-Core Processor           ,10
Intel(R) Core(TM) i3 CPU       M 350  @ 2.27GHz,10
Intel(R) Core(TM) i3-2100T CPU @ 2.50GHz,10
Intel(R) Core(TM) i3-6320 CPU @ 3.90GHz,10
Intel(R) Core(TM) i7-6498DU CPU @ 2.50GHz,10
AMD A6-3600 APU with Radeon(tm) HD Graphics,10
AMD FX(tm)-870K Quad Core Processor            ,10
Genuine Intel(R) CPU  @ 3.40GHz,10
Intel(R) Core(TM) i5-10400F CPU @,10
Intel(R) Core(TM) i3-2125 CPU @ 3.30GHz,10
Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz,10
AMD Ryzen 3 3300X 4-Core Processor             ,10
Intel(R) Core(TM) i3-8100B CPU @ 3.60GHz,10
Intel(R) Core(TM) i7-3615QM CPU @ 2.30GHz,10
Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,10
Intel(R) Xeon(R) CPU E5-2603 v3 @ 1.60GHz,10
Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,10
Intel(R) Xeon(R) CPU E5-4607 0 @ 2.20GHz,10
"AMD PRO A8-8650B R7, 10 Compute Cores 4C+6G    ",10
Intel(R) Core(TM) I5 9400F CPU @ 2.90GHz,10
Intel(R) Pentium(R) CPU G3240T @ 2.70GHz,10
Genuine Intel(R) CPU 0000 @ 3.10GHz,10
Intel(R) Core(TM) i7-3537U CPU @ 2.00GHz,10
Intel(R) Core(TM) i7-2820QM CPU @ 2.30GHz,10
Intel(R) Core(TM) i7-4980HQ CPU @ 2.80GHz,10
Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz,9
Intel(R) Core(TM) i7-3820QM CPU @ 2.70GHz,9
Intel(R) Core(TM) i5-3450S CPU @ 2.80GHz,9
Intel(R) Core(TM) I5 9400F CPU @ 3.30GHz,9
Intel(R) Core(TM) i5 CPU         661  @ 3.33GHz,9
Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,9
Intel(R) Core(TM) i5-6350HQ CPU @ 2.30GHz,9
Intel(R) Core(TM) I5 10600 CPU @ 3.30GHz,9
Intel(R) Pentium(R) CPU G870 @ 3.10GHz,9
Intel(R) Pentium(R) CPU G645T @ 2.50GHz,9
Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz,9
Intel(R) Core(TM) i5-4570T CPU @ 2.90GHz,9
Intel(R) Core(TM) i7-11700k CPU @,9
Intel 酷睿i7 10700K,9
Intel(R) Celeron(R) CPU N3350 @ 1.10GHz,9
Intel(R) Xeon(R) CPU           X5672  @ 3.20GHz,9
Intel(R) Pentium(R) CPU G4500T @ 3.00GHz,9
Intel(R) Core(TM) i5-3360M CPU @ 2.80GHz,9
Intel(R) Core(TM) i5-2415M CPU @ 2.30GHz,9
Intel(R) Core(TM) i3 CPU       M 330  @ 2.13GHz,9
AMD Ryzen 7 PRO 1700X Eight-Core Processor     ,9
,9
AMD FX(tm)-6200 Six-Core Processor             ,9
AMD FX(tm)-8310 Eight-Core Processor           ,9
Intel(R) Core(TM) i5-3340 CPU @ 3.10GHz,9
Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz,9
Intel(R) Core(TM)2 Duo CPU     T6400  @ 2.00GHz,9
Intel(R) Xeon(R) CPU E5-4640 v2 @ 2.20GHz,9
Intel(R) Celeron(R) CPU G3900T @ 2.60GHz,9
Intel(R) Core(R) CPU i5-11500  @,9
Intel(R) Core(TM) i7-10700 CPU @ 3.7GHz,9
Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz,9
Intel(R) Pentium(R) CPU G2130 @ 3.20GHz,9
Intel(R) Core(TM) i7-8700k CPU @ 4.10GHz,9
Intel(R) Xeon(R) CPU E5-2680R v4 @ 2.40GHz,9
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,9
Intel(R) Xeon(R) CPU E3-1245 v3 @ 3.40GHz,9
Intel(R) Xeon(R) CPU E3-1285L v4 @ 3.40GHz,9
Intel(R) Core(TM) i5 CPU       M 560  @ 2.67GHz,9
"AMD A6-7480 Radeon R5, 8 Compute Cores 2C+6G   ",9
Intel(R) Pentium(R) CPU G2020T @ 2.50GHz,9
Intel(R) Xeon(R) CPU E5-2630L v2 @ 2.40GHz,9
Intel(R) Core(TM) i7-4910MQ CPU @ 2.90GHz,9
Intel(R) Core(TM) i7 CPU       K 875  @ 2.93GHz,9
AMD Ryzen 5 PRO 1600 Six-Core Processor        ,9
AMD Phenom(tm) II X4 925 Processor,9
Intel(R) Core(TM) i7-2700K CPU @ 3.50GHz,9
Intel(R) Core(TM) i7-4860HQ CPU @ 2.40GHz,8
Intel(R) Core(TM) i5-8500 CPU @ 4.10GHz,8
Intel(R) Core(TM) i5-9600 CPU @ 3.10GHz,8
Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,8
AMD FX(tm)-4130 Quad-Core Processor            ,8
Intel(R) Celeron(R) CPU N3450 @ 1.10GHz,8
Intel(R) Core(TM) i5 CPU       S 760  @ 2.53GHz,8
Intel(R) Core(TM) i3-4360T CPU @ 3.20GHz,8
Intel(R) Celeron(R) CPU  N2840  @ 2.16GHz,8
Intel(R) Core(TM)2 Duo CPU     T6600  @ 2.20GHz,8
Intel(R) Celeron(R) CPU 3965U @ 2.20GHz,8
AMD Athlon(tm) 64 X2 Dual Core Processor 4600+,8
AMD Athlon(tm) II P340 Dual-Core Processor,8
AMD Phenom(tm) II X6 1055T Processor,8
12th Gen Intel(R) Core(TM) i5-12400,8
Intel(R) Xeon(R) E-2276M  CPU @ 2.80GHz,8
Intel(R) Xeon(R) CPU E5-2669 v3 @ 2.30GHz,8
Intel(R) Pentium(R) Gold G6500 CPU @ 4.10GHz,8
Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz,8
Intel(R) Core(TM) I5 10600F CPU @ 3.30GHz,8
Intel(R) Core(TM) i5-10400f CPU @ 4.0GHz,8
"AMD A6-9200 RADEON R4, 5 COMPUTE CORES 2C+3G   ",8
AMD Athlon PRO 200GE w/ Radeon Vega Graphics   ,8
Intel(R) Xeon(R) CPU E3-1235L v5 @ 2.00GHz,8
12th Gen Intel(R) Core(TM) i3-12100,8
AMD Athlon(tm) II X2 265 Processor,8
AMD A10-5800B APU with Radeon(tm) HD Graphics  ,8
11th Gen Intel(R) Core(TM) i7-11600H @ 2.90GHz,8
Intel(R) Core(TM) i7 CPU       S 860  @ 2.53GHz,8
Intel(R) Core(TM) i5-8500 CPU @ 4.00GHz,8
Intel(R) Pentium(R) CPU G2100T @ 2.60GHz,8
Intel(R) Core(TM)2 Duo CPU     T7250  @ 2.00GHz,8
Intel(R) Core(TM) i9-10900X CPU @ 3.70GHz,8
