CPU,Num
Intel(R) Core(TM) i7-9700KF CPU @ 3.60GHz,724
Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,719
Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,717
Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,715
Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,688
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,679
Intel(R) Xeon(R) CPU E5-2689 0 @ 2.60GHz,678
AMD Athlon(tm) II X4 641 Quad-Core Processor,660
Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,656
AMD Ryzen 5 4600H with Radeon Graphics         ,640
Intel(R) Core(TM) i9-9900KF CPU @ 3.60GHz,629
Intel(R) Xeon(R) CPU           L5640  @ 2.27GHz,627
AMD Athlon(tm) II X4 640 Processor,625
Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz,624
11th Gen Intel(R) Core(TM) i5-11600KF @ 3.90GHz,615
Intel(R) Core(TM) i5-6400T CPU @ 2.20GHz,613
Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,600
Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz,598
"AMD A8-7650K Radeon R7, 10 Compute Cores 4C+6G ",597
Intel(R) Core(TM) i5-10200H CPU @ 2.40GHz,593
Intel(R) Pentium(R) CPU G3250 @ 3.20GHz,580
Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,578
Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz,565
AMD Athlon(tm) X4 730 Quad Core Processor      ,565
11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,560
Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,539
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,531
Intel(R) Xeon(R) CPU E3-1230 v5 @ 3.40GHz,531
AMD Ryzen 3 2200G with Radeon Vega Graphics    ,530
Intel(R) Pentium(R) Gold G5420 CPU @ 3.80GHz,527
AMD FX(tm)-8300 Eight-Core Processor           ,512
Intel(R) Core(TM) i5-9600K CPU @ 3.70GHz,505
AMD Ryzen 7 1700 Eight-Core Processor          ,505
Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,500
AMD Athlon(tm) II X2 250 Processor,499
Intel(R) Xeon(R) CPU E5-2678 v3 @ 2.50GHz,497
Intel(R) Core(TM) i7-10700KF CPU @ 3.80GHz,494
Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,491
"AMD A8-7500 Radeon R7, 10 Compute Cores 4C+6G  ",491
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,484
AMD Athlon(tm) X4 830 Quad Core Processor      ,481
12th Gen Intel(R) Core(TM) i5-12490F,477
AMD Ryzen 5 1400 Quad-Core Processor           ,476
11th Gen Intel(R) Core(TM) i5-11500 @ 2.70GHz,472
Intel(R) Core(TM) i5-2320 CPU @ 3.00GHz,468
Intel(R) Celeron(R) CPU G3930 @ 2.90GHz,462
